,0
891,"If you still cannot get Pylint to work after installing and reloading your environment, add the code below to the your user settings.json file...<br><br>ctrl + shift + p <br>Select settings.json<br><br>&quot;python.linting.enabled&quot;: true,<br>&quot;python.linting.pylintEnabled&quot;: true,<br>&quot;python.linting.pylintUseMinimalCheckers&quot;: false,"
892,Amazing video. Thanks for that. Everything works as you explained except the intellisense  in jupyter notebook that doesn&#39;t seem to work for me. I am using VSCode version 1.54.3.
893,Fantastic! Keep pumping out more content!
894,like
895,"Hello Luke, I am new to programing and want to expand my knowledge. I have followed your previous vids and installed everything correctly. Until this vid. My terminal looks different as you are using a mac. In the previous vids you showed how to do both platforms. Can you please explain how to do it for win 10. I would try to install &quot;conda instal numpy==/1.17&quot; with no luck in the python terminal. the terminal I am using doesn&#39;t generate the &quot;$&quot; symbol for me or have the different colors. Thanks for the help."
896,"Hi everybody, i have already installed numpy but keep me saying  &quot; ModuleNotFoundError: No module named &#39;numpy&#39; &quot; , if I go to &quot;Run&quot; then &quot;Run without debugging&quot; work just fine .I don&#39;t know why"
897,"Hey Luke, great videos<br><br>My Terminal looks different than yours (did the same as you regarding installation etc.) but you terminal says 2:python, whereas i can only choose powershell og cmd, how do i get the same option as you, for instance my terminal doesn&#39;t show which virtual environment i am in if i use Powershell or if it is cmd it shows which virtual environment but i can&#39;t use clear for example. <br><br>Is there anyway i can make it like yours?<br><br>Kind regards <br>Jens"
898,thank you best video I&#39;ve seen so far to explain why and how to set up virtual environment
899,The blue popup information you create is very distracting. Otherwise a great video!
900,"Hi Luke. I&#39;m a beginner in this world of programming languages and Data World and your videos are helping me a lot! but i&#39;m having a huge troubles with the virtual environments . I did every single step you did in your videos of installing python, anaconda and VS code. everything seems to be perfect. I write the code to create the new environment and it runs well but... when I try to activate it does nothing. literally  nothing. Don&#39;t put error, does not activate it and I don&#39;t know what to do now"
901,"Systematically amazing video.. I&#39;ve been watching and practicing every single step (from installing anaconda). I will continue watch this video tomorrow. I am new to python. So I will savour my moment of learning it. Once again, thank you!!"
902,"Very neat explanation, subscribed!"
903,"Hey Luke please give me a solution for this, I am using Windows 10<br>from numpy.core._multiarray_umath import (<br>ImportError: DLL load failed: The specified module could not be found."
904,"This video series was a great help, very much appreciated!"
905,luke i am stuck here i can all i am seeing here is this conda.io.activation can u help
906,"Hi Luke Thanks for your great content on youtube. Unfortunately, I have still e problem with the module numpy. I follow your instructions very carefully but if it comes to run the file_<a href=""http://2.py/"">2.py</a> which has includes the numpy command, it seems  hat the venv can’t find such one. Curiously if I change the interpreter in VsCode to base, it all works without any errors. However, I can’t fix the problem if I run the code in the venv1. It occurs this Error: ModuleNotFoundError: No module named &#39;numpy&#39;. It would be great if you or anyone else could help me to fix it. Thanks in advance"
907,Wow. The explanation is very clear !! Thanks.
908,"clearly in the topics will have, also, this is what I want! Thanks."
909,"Luke, this series is so awesome. Been trying to figure out how best to setup anaconda and virtual environments and this is by far the clearest and best guide. I just had two quick Qs: 1) in your terminal and the .py files stuff pops up so you can autocomplete what you are typing; how do I set that up? 2) My terminal is the power shell whereas yours has the environment in parentheses and the dollar sign at the end; how do I get that setup? Thanks again for these amazing videos!"
910,"Great Job Luke. I&#39;ve been following this playlist and so far its going great. Just one ques though, math code works fine. But, numpy is not working for me. when I tried installing it the output came &#39;already installed&#39;"
911,"Hi, I asked a question on another post, but then I came here. So, I downloaded anaconda on my Mac, but do I need to add a conda extension to my VS code?"
912,Amazing work Luke. All you videos have excellent explanation with perfect visualization. Keep on going (y)
913,hi Jupyter notebook keybord shortcuts won&#39;t work in Vscode
914,Super excited with your content. Could you please tell me the tools to create YouTube content
915,I have installed anaconda &amp; python following your last 3 videos. However the &quot;Python: Create New Blank Jupyter Notebook&quot; option is not showing in the VS Code search bar. May i know what could be the problem? Thanks
916,​ @Luke Barousse  .. I am here.. and a change I use native Python  Interpreter..  btw Thanks.
917,"Luke, kindly explain. what if you have already installed python but did not add it to the cmd environments path which means you cannot run python from the cmd. Besides what happens if the jupyter notebook code you run doesn&#39;t work as I am experiencing. What could be the reason?"
918,"Luke, would be great if you create a series or a video about integration with github and building portfolios for beginners. Your videos are great!"
919,"Bro I installed vs code in linux , and have installed modules like flask,pandas, playsound,,, but every time I run code in vs it gives me import error: module not found,,, please help"
920,Nice tan :-D
921,Amazing videos
922,Thanks for your incredible video it just help me conclude what is the use of anaconda
923,please stop with those pssshhh intros it actually makes me insane! Really love this series and your content though so thank you so much for the great videos :)
924,"Hi Luke, I still don&#39;t really understand the pros and cons of using text editors and IDE. I don&#39;t see why we even bother to use text editor when IDE is just like text editor but more convenient, yet a lot of people still use text editor. Why do you think is that?"
